SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION
Arion,,,Bark,,,2/11/1852,1852,2,11,Squan Inlet S 11 mi,,,Damaged; Lost stern post,Wood,,,,,,,"Boston, MA","New Orleans, LA","New York, NY",Vennard,12,,,,,Whiskey; flour,,N,N,N,Waiting for pilot
Brandywine (1852),,,Schooner,,,12/18/1852,1852,12,18,Little Egg Harbor,,,Collision; Abandoned,,,,,,,,"Philadelphia, PA","Philadelphia, PA","New York, NY",Godfrey,,,0,,,Coal,,Y,Y,N,"Total loss; Rescued by ""SS United States"""
Columbus (1852),,,,,,3/15/1852,1852,3,15,Little Egg Harbor Inlet Outer Bar,,,Stranded,,,,,,,,,"Philadelphia, PA","Boston, MA",,,,0,,,,,,,N,
Commerce # 3,,,Pilot boat,,,1/8/1852,1852,1,8,,,,Lost,,,,,,,,,,Pilot service,,9,,9,,,,,Y,Y,N,Lost w/ all hands
Creole (1852),,,Brig,,,10/23/1852,1852,10,23,Delaware Breakwater,,,Grounded,,,,,,,,"Ellsworth, ME","Dighton, MA","Philadelphia, PA",Lord,,,,,,,,Y,Y,N,Broke up
Fanny Bourne,,,Schooner,,,3/19/1852,1852,3,19,Delaware Lightship E 104 mi,,,Dismasted,,England,,,,,,"Dartmouth, NS Canada",,,,,,,,,,,N,N,N,
Fortunato,,,Brig,,,8/20/1852,1852,8,20,Squan Beach,,,Stranded,Wood,Italy,,,,,,"Sardinia, Ialy",,"New York, NY",,10,,0,,,"Marble, wine",,Y,Y,N,Total loss
George Washington (1852),,,Schooner,,,3/15/1852,1852,3,15,Cape May,,,Stranded,,,,,,,,,,,,,,,,,,,,,N,
Georgia,,,Sailing ship,1847,"Boston, MA",12/3/1852,1852,12,3,Bonds LSS,39.53833,-74.24444,Grounded in fog,Wood,US,,,,,,"Savannah, GA","Liverpool, England","New York, NY",Marshall Brady,,296,0,,,Iron; salt,,A,Y,N,All saved
J B Perry,,,Schooner,,,4/12/1852,1852,4,12,Delaware Capes,,,Capsized; Abandoned,,,,,,,,,"Philadelphia, PA","Falmouth, MA",,,,0,,,,,Y,Y,N,Total loss
J W Heath,,,Schooner,,,6/22/1852,1852,6,22,Cape May,,,Capsized,,,,,,,,,"Philadelphia, PA","Medford, MA",,,,0,,,Coal,,Y,Y,N,Sank; Total loss
James C Fisher,,,Schooner,,,1/3/1852,1852,1,3,Seven Mile Beach,39.05412,-74.74806,Stranded,,,,,,,,,,"New York, NY",,,,,,,,,A,Y,N,Crew saved; ship & cargo lost
Lucy (1852),,,,,,12/26/1852,1852,12,26,Barnegat,,,Grounded in gale,,,,,,,,"Providence, RI","Providence, RI","Mobile, AL",,,,3,,,,,,,N,
Matagorda,,,Bark,1847,"Piermont, NY",11/1852,1852,11,,Egg Harbor Beach,,,Grounded,,,,,,177,,"New Bedford, MA","Mobile, AL","New York, NY",,,,,,,,,,,N,
Nathan Durfee,,Fall River Iron Works,Schooner,1844,,8/11/1852,1852,8,11,Barnegat E 15 mi,,,"Collision w/ bark ""Flash""",Wood,US,,,,,,"Fall River, MA","Baltimore, MD","Fall River, MA",Heald,7,1,1,"$9,000",,405 ton coal,,Y,Y,N,Total loss
Rainbow (1852),,,Schooner,,,12/8/1852,1852,12,8,Absecon Beach,,,Grounded; Capsized,,,,,,,,,"Beaufort, NC","New York, NY",Fairrcloyke/Farlow ?,7,,,,,,,Y,Y,N ,All saved
Rainbow (1852),,,Schooner,,,4/3/1852,1852,4,3,,,,Stranded,,,,,,,,"Cape Island, NJ","Philadelphia, PA","New York, NY",Williams,,,,,,,,Y,Y,N ,Crew all lost
Samuel Henry,,,Schooner,,,4/23/1852,1852,4,23,Cape May Lighthouse N 2 mi,,,Grounded in gale; Bilged,,,,,,,,,,,,,,,,,,,Y,Y,N,Total loss
Scioto,,,Schooner,,,5/18/1852,1852,5,18,Long Beach Island,,,Foundered,,,,,,,,,,,,5,,,,,,,,,N,
T B Holmes,,,Schooner,,,4/20/1852,1852,4,20,"Surf City, NJ",,,Capsized,,,,,,,,"Nyack, NY","Nyack, NY",,,,,,,,,,Y,Y,N ,All hands lost
T Tremlett,,,Schooner,,,7/1852,1852,7,,Squan Beach,,,Grounded,,England,,,,,,,Nova Scotia,"New York, NY",Bosajour,3,2,5,,,,,Y,Y,N,Broke up
Trumlett,,,Schooner,,,4/21/1852,1852,4,21,Squan Village S 11 mi,,,Foundered in storm,,Canada,,,,,,Nova Scotia,"Canso, NS","New York, NY",Charles D Buserau,7,,5,,,Fish & fish oil,,Y,Y,N,Total loss
Truth,,,Schooner,,,8/26/1852,1852,8,26,Atlantic City,,,Stranded,,,,,,,,,,,,,,,,,,,Y,Y,N,Total loss
William & Sidney,,,Schooner,,,2/28/1852,1852,2,28,Highlands Ocean House SE 1 mi,,,Collision,,,,,,,,"Yorktown, VA",,"New York, NY",,,,,,,Oysters,,Y,Y,N,Sank; Total loss
Yankee #2,,,Pilot boat,,,12/3/1852,1852,12,3,Sandy Hook E 35 mi,,,Struck submerged object,,,,,,,,"New York, NY",,,,9,,4,,,,,Y,Y,N,"5 crew rescued by ""E K Collins"""
Advent,,,Schooner,,,5/9/1851,1851,5,9,Delaware Capes,,,Grounded,,,,,,,,"Augusta, GA","Boston, MA","Savannah, GA",Rowe,,,,,,Ice,,Y,Y,N,Total loss
Amazon,,,Schooner,,,4/26/1851,1851,4,26,Barnegat NE 8 mi,,,"Collision w/ ""Kenebec""",,,,,,,,"Philadelphia, PA","New York, NY","Philadelphia, PA",Steelman,,,,,,In ballast,,Y,Y,N,Total loss
American (1851),,,Brig,,,4/4/1851,1851,4,4,Long Beach Island,,,Stranded; Bilged,,US,,,,,,,"Savannah, GA","New York, NY",Ross,,,,,,,,Y,Y,N,Total loss
Argyle,,,Bark,,,3/20/1851,1851,3,20,Long Beach Island Bonds,39.53641,-74.24705,Stranded,,,,,,,,"Yarmouth, NS","Savannah, GA","Glasgow, Scotland",James Benton,11,,10,,,,,A,Y,N,Total loss
Baldwin (1851),,,Bark,,,11/1851,1851,11,,Atlantic City,,,Stranded,,,,,,,,,,,,,,,,,Cotton & merchandise,,,,N,
Catherine H Brown,,,Schooner,,,11/21/1851,1851,11,21,Long Beach Island,,,Capsized in storm,,,,,,,,,"New York, NY",Southen ports,,,,,,,,,Y,Y,N,Crew saved
Charles D Ellis,,,Schooner,,,11/27/1851,1851,11,27,Egg Harbor Light E 9 mi,,,"Collision w/ ""Brother Jonathan""",,,,,,,,,"San Juan, Puerto Rico","Wilmington, NC",Smith,,,0,,,,,Y,Y,N,Total Loss
Conde De Luchana,Conda La China,,Schooner,,,10/1851,1851,10,,Long Beach Island,,,,,Spain,,,,,,,,,,5,,,,,Hides & tobacco,,Y,Y,N,"Broke up; AKA ""Conda La China"""
Edward Prescott,,,Brig,,,10/26/1851,1851,10,26,Absecon Inlet South bar,,,Stranded,,,,,,,,,"Philadelphia, PA","Boston, MA",,,,0,,,,,Y,Y,N,Total loss
Elizabeth Ann,,,Sloop,,,5/6/1851,1851,5,6,Cape May,,,In distress; Abandoned,,,,,,,,,"Rockaway, NY","Rockaway, NY",,4, ,,,,,,Y,Y,N,"Total loss; Crew rescued by ""Josiah Bradley"""
Ellen H Perkins,,,Schooner,,,5/16/1851,1851,5,16,Shark River Inlet,,,Grounded in gale,,,,,,,,"New London, CT",Virginia,"New York, NY",Smith,,,1,,,,,Y,Y,N,Total loss
Emilie,,,Bark,,,4/6/1851,1851,4,6,Absecon Beach,,,Stranded,,Sweden,,,,,,,,"New York, NY",Anderson,12,,0,,,,,Y,Y,N,Probable loss
Erie (1851),,,Schooner,,,10/8/1851,1851,10,8,Delaware Capes,,,Abandoned,,,,,,,,"Newburyport, MA","Philadelphia, PA","Newburyport, MA",,,,,,,,,Y,Y,N ,Sank; Total Loss
Independence (1851),,,Sailing ship,,,12/23/1851,1851,12,23,Squan Beach,,,Stranded,Wood,England,,,,,,,"Belfast, England","New York, NY",Martin,,150,0,,,,,N,N,N,Refloated
Indus,,,Brig,,,10/2/1851,1851,10,2,Highlands of Naversink SE 30 mi,,,Fire,,England,,,,,,,"New York, NY","Aux Cayes, Haiti",,,,0,,,,,Y,Y,N,Crew Barely escaped; Total loss
Isabella (1851),,,Brig,,,1/6/1851,1851,1,6,,,,Leaking,,,,,,,,"Dundee, Scotland","Shields, England","New Haven, CT",,8,,,,,,,Y,Y,N,"Crew rescued by ""Elizabeth Frith"""
James Orr,,,Brig,,,7/1851,1851,7,,New Inlet Bar,,,Grounded,,England,,,,,,"Cardiff, England",,,Bell,,,,,,,,Y,Y,N,Total loss
Judge Baker (1851),,,Schooner,1845,,11/14/1851,1851,11,14,Barnegat,,,Capsized,,,,,,,,,,,,,,,,,,,N,N,N,Crew saved
Kirkwood,,,Bark,,,2/22/1851,1851,2,22,Brigantine,39.40833,-74.35000,Grounded,,,,,,,,,South America,,S Martin,12,,,,,Coffee,,A,,N,Mistook lights of hotel for ship
L Baldwin,,,Brig,,,11/22/1851,1851,11,22,Brigantine Shoal,,,Stranded,,,,,,,,,"Savannah, GA","New York, NY",,11,,0,,,,Atlantic City,,,N,
Martha Washington,,,Schooner,,,4/20/1851,1851,4,20,Sandy Hook SE 30 mi,,,Abandoned,,,,,,,,"Calais, ME","Philadelphia, PA","Boston, MA",Elliot,,,0,,,,,Y,Y,N,"Sank; Total loss; Crew rescued by ""Ann Harley"""
Phantom (1851),,,Brig,,"Baltimore, MD",11/22/1861,1851,11,22,Five Fathom Bank,,,"Collision w/ ""Umpire""",Wood,US,,,,,,"New York, NY",Curacao,"New York, NY",Cravens,7,,0,,,Salt & hides,,Y,Y,N,"Crew resucued by ""Umpire""; Crew rescued by ""Hera;d"""
Sea Beau,,,Brig,,,9/17/1851,1851,9,17,Cape May Joe Flogger Shoal,,,Stranded,,,,,,,,,"New Orleans, LA","Philadelphia, PA",Havener,,,,,,,,Y,Y,N,Total loss
Shakspeare (1851),,,Brig,,,11/12/1851,1851,11,12,Barnegat,,,Capsized,,,,,,,,"Bangor, ME","Boston, MA","Philadelphia, PA",,2,,0,,,,,Y,Y,N,
Sylph,,Sandy Hook Pilots,Pilot schooner,1834,"Boston, MA",12/1851,1851,12,,Barnegat,,,Lost in blizzard,,,,,,,,"Newark, NJ",,Pilot service,,,,,,,,,Y,Y,N,All hands lost
Thomas Jefferson,,,Schooner,1841,"East River, VA",9/22/1851,1851,9,22,"Highlands, NJ",,,"Collision w/ ""Cushnoe""",Wood,US,68.9,20.9,6.10,82,,"Astoria, NY","Wilmington, DE","New York, NY",Phillips,4,,0,,,Coal,,Y,Y,N,Abandoned before sinking
Topaz,,,Brig,,,6/8/1851,1851,6,8,,,,Sank in gale,,,,,,,,"Eastport, NY","Eastport, NY","Philadelphia, PA",,,,,,,,,Y,Y,N,
Twin Locomotives,Long Branch Trains,Seth Wilmarth,RR Locomotives,1851,"Boston, MA",1851,1851,,,Asbury Park E 8 mi,,,Fell overboard,Iron,US,,,,,,,"Boston, MA","Philadelphia, PA",,,,0,,,,,Y,Y,Y,Featured on Deep Sea Detectives
Walter,,,Schooner,,,3/12/1851,1851,3,12,Cold Spring Bar,,,Burned,,US,,,,,,"Lewes, DE","Philadelphia, PA","Lewes, DE",,,,,,,,,Y,Y,N,Total loss
William Pollard,,,Schooner,,,8/28/1851,1851,8,28,Cape May Joe Flogger Shoal,,,Stranded in storm,,,,,,,,"Harrington, ME","Philadelphia, PA","Boston, MA",,,,,,,,,Y,Y,N,Sunk; Total loss
Ayrshire (1850),,Buoun & Co,Bark,1845,"Quebec, Canada",1/12/1850,1850,1,12,Squan Inlet S 8.1 mi,39.98431,-74.05908,Grounded in snow storm,Wood,England,,,,625,,"Bristol, England","Newry, Ireland","New York, NY",J P M McGlew,47,202,1,,,37 ton iron; 280 ton coal,,A,Y,Y,1st use of Francis life car
Barton,,,Schooner,,,2/3/1850,1850,2,3,Barnegat SE 20 mi,,,Abandoned,,,,,,,,"Brooklyn, NY","Richmond, VA","New York, NY",,6,,0,,,,,Y,Y,N,"Total loss; Crew saved by ""Excel"""
Charres,,,Bark,,,2/11/1850,1850,2,11,Barnegat Shoal,,,Wrecked,,,,,,,,,,,,12,,,,,,,,,N,
Durock,,,Schooner,,,4/28/1850,1850,4,28,Little Egg Harbor shoal,,,Stranded in storm,,,,,,,,"Newcastle, ME","Baltimore, MD","Newcastle, MD",,,,,,,Flour,,Y,Y,N,Total loss; Crew rescued
Elizabeth (1850),,,Sailing ship,,,7/16/1850,1850,7,16,Fire Island Light E 5 mi,,,Stranded,Wood,US,,,,,,"Philadelphia, PA",Livorno (Leghorn) Italy ,"New York, NY",Hasty,18,5,8,,,Fancy Italian stonework,,Y,Y,N,Identified by divers
Emily (1850),,,Bark,,,~1850,1850,,,Absecon,,,Wrecked,,,,,,,,,,,,12,,0,,,,Atlantic City,,,N,
H Springer,,,Schooner,,,9/15/1850,1850,9,15,Hereford Inlet bar,,,Stranded,,,,,,,,,"Philadelphia, PA",,,,,,,,,,Y,Y,N,Total loss
Ironsides,,,Schooner,,,8/24/1850,1850,8,24,New Jersey coast,,,Foundered in gale,,,,,,,,,"New York, NY",Delaware Breakwater,Welch,13,,8,,,Stone,,,,N,
Isabella (1850),,,Schooner,,,4/1850,1850,4,,Sandy Hook W,,,,,,,,,,,"New Bern, NC",,,Samuel Penny,6,0,6,,,50 bales cotton;140 bbls resin,,,,N,
James A Saunders,,,Schooner,,,4/1850,1850,4,,Absecon,,,Stranded; Bilged,,,,,,,,"Hampton, VA","Hampton, VA","New York, NY",Fennis,,,,,,Oysters,,,,N,
John Manlove,,,Schooner,,,11/13/1850,1850,11,13,"Long Branch, NJ",,,Grounded,,,,,,,,,,"New Haven, CT",Savin,,,,,,,,Y,Y,N ,Total loss
Orion (1850),,,Bark,,,1/1850,1850,1,,New Jersey coast,,,Wrecked,,,,,,,,,,,,90,,0,,,,,,,N,
Queen (1850),,,Steamship,,,1850,1850,,,Bay Head E 2 mi,40.06623,-74.00453,,,,,,,5500,,,,,,15,,,,,,,A,,N,
Reindeer (1850),,,Brig,,,11/8/1850,1850,11,8,Cape May Joe Flogger Shoal,,,Stranded in gale,,England,,,,,,,"Malaga, Spain","Philadelphia, PA",Bell,,,,,,Wine & fruit,,Y,Y,N,Total loss
Repplier,,,Brig,,,12/19/1850,1850,12,19,Atlantic City,,,Stranded,,,,,,,,"Boston, MA",,"New York, NY",,,,,,,Coal,,,,N,
S 10,,,Schooner,,,1850,1850,,,Absecon,,,Wrecked,,,,,,,,,,,,5,,0,,,,Atlantic City,,,Y,
S H McRae,,,Schooner,,,12/13/1850,1850,12,13,Cape May N 10 mi,,,Stranded,,,,,,,,"New Bern, NC","New Bern, NC","New York, NY",,,,,,,,,Y,Y,N,Total loss
Savannah No 4,,,Pilot schooner,,,1850,1850,,,At sea,,,Lost at sea,,,,,,,,,,,,,,,,,,,Y,Y,N,Never heard from
Wabash,,,,,,9/27/1850,1850,9,27,Long Beach Island,,,Grounded,,,,,,,,,"New Orleans, LA","New York, NY",,,,,,,,,,,N,
Brookhaven,,,Schooner,,,12/24/1849,1849,12,24,Absecon,,,Grounded in gale,,,,,,,,"Newport, RI","Norfolk, VA","Fall River, MA",,5,,0,,,Corn,,Y,Y,N,Total loss
Caroline (1849),,,Schooner,,,8/23/1849,1849,8,23,Hereford Inlet bar,,,Stranded,,,,,,,,,"New York, NY","Philadelphia, PA",McDonough,,,,,,,,,,Y,
Chester (1849),,,Bark,,,3/17/1849,1849,3,17,Barnegat Beach,,,Stranded,,,,,,,,"New Orleans, LA","New Orleans, LA",,Robinson,,,,,,,,,,N,
Ellen H Sedgewick,,,Schooner,,,12/22/1849,1849,12,22,Absecon,,,Foundered in gale,,,,,,,,"Newark, NJ","Richmond, VA","New York, NY",Beaston,4,,3,,,,,Y,Y,N,Total loss
Export,,,Schooner,,,12/24/1849,1849,12,24,Egg Island Light,,,Grounded,,,,,,,,,"Philadelphia, PA","New York, NY",,,,,,,,,N,N,N ,At anchor; all saved
Ida (1849),,,Schooner,,,1/2/1849,1849,1,2,Barnegat Beach,,,Driven ashore,,,,,,,,,,"St John, NB",Roberts,,,,,,,,,,N,
La Fauvette,,,Bark,,,4/27/1849,1849,4,27,Squan Beach,,,Stranded,,France,,,,,,,"Port-Vendres, France","New York, NY",,,,,,,,,Y,Y,N,Total loss
Megunticook,,,Schooner,,,6/26/1849,1849,6,26,Great Egg Harbor E 50 mi,,,Abandoned & derelict,,,,,,,,,"Richmond, VA","Providence, RI",,,,0,,,,,Y,Y,N,"Total loss; Crew saved by ""Ann T Sipple"""
Oscar,,,Schooner,,,5/5/1849,1849,5,5,Cape May Brandywine Shoal,,,Stranded,,,,,,,,,"Philadelphia, PA","Bangor, ME",,,,,,,Coal,,Y,Y,N,Total loss
Thos Russell,,,Schooner,,,3/31/1849,1849,3,31,NJ Coast E 5 mi,,,Capsized,,,,,,,,"Cape May, NJ",,,,5,,5,,,,,Y,Y,N,Total loss
Walter A Merchant,,,Schooner,,,11/25/1849,1849,11,25,"Atlantic City, NJ",,,Stranded,,,,,,,,"Washington, DC",,,,,,,,,Naval stores & shingles,,,,N,
Wescustago,,,Schooner,,,9/18/1849,1849,9,18,Sandy Hook,,,Collision,,,,,,,,"Baltimore, MD","Baltimore, MD","New York, NY",,,,,,,,,Y,Y,N,Total loss; sank
Duchess Orleans,,,Ship,,,1/14/1848,1848,1,14,Sandy Hook,,,Stranded,,,,,,798.5,,,"Havre, France","New York, NY",,30,112,,"$40,000","$750,000",,,,,N,
Edward (1848),,,Schooner,,,4/28/1848,1848,4,28,Cape Henlopen Light NNE 15 mi,,,"Collision w/ ""Mary F Lutterrus""",,,,,,,,,"Aux Cayes, Haiti","Philadelphia, PA",,,,,,,,,Y,Y,N,Dense fog; sunk
Edward Winslow,,,Schooner,,,6/24/1848,1848,6,24,Little Egg Harbor,,,Floating derelict,,,,,,,,"Pleasant Mills, NJ",,,,,,,,,,,,,N,
Eudora,,,Steamship,,,1848,1848,,,Absecon Ludlams Beach,,,,,,,,,,,,,,,400,,0,,,,,,,N,Government equip used in rescue
Forest (1848),,,Brig,,,3/2/1848,1848,3,2,Hereford Inlet bar,,,Grounded,,,,,,,,"New York, NY","Philadelphia, PA","New York, NY",,,,,,,,,Y,Y,N,Total loss
George Klots,,,Schooner,,,12/20/1848,1848,12,20,Great Egg Harbor bar,,,Grounded,,,,,,,,,"Bridgeport, CT","Philadelphia, PA",Smith,,,,,,,,Y,Y,N,Total loss
Harriet Fuller,,,Schooner,,,4/19/1848,1848,4,19,Great Egg Harbor Inlet,,,,,,,,,,,,"Bristol, ME","Philadelphia, PA",,5,,,,,,,,,N,
J Marbs,J Marks,,Ship,,,10/2/1848,1848,10,2,File Mile Beach,,,Stranded & bilged,Wood,Germany,,,,,,"Hamburg, Germany","Hamburg, Germany","New York, NY",Benske,,122,2,,,,,Y,Y,N,Total loss
Katharine Jackson,,,Sailing ship,,,10/30/1848,1848,10,30,Squam Beach,,,Stranded,Wood,US,,,,456,,,"Rotterdam, Netherlands","New York, NY",Stafford,,156,0,,,,,Y,Y,N,Total loss
Lauretta (1848),,,Brig,,,6/29/1848,1848,6,29,Absecon Beach,,,Stranded,,,,,,149.34,,,"Cienfuegos, Cuba","New York, NY",,7,2,,"$8,000",,,,,,N,
Mary F Lutherrus,,,Schooner,,,4/28/1848,1848,4,28,Cape May,,,"Collision w/ ""Edward""",,,,,,125,,,"Philadelphia, PA","New Orleans, LA",Sommers,7,,,"$4,000","$5,000",,,Y,Y,N,Total loss
Packet,,,Brig,,,4/20/1848,1848,4,20,Barnegat,,,Abandoned in gale,,,,,,,,"Richmond, VA","Baltimore, MD","Boston, MA",,,,,,,,,Y,Y,N,Total loss
Pioneer (1848),,,Sloop,,,2/1848,1848,2,,"Cranberry Inlet, NJ",,,Stranded,Wood,,,,,40,,,"Egg Harbor, NJ",,,,,,$800,$400,,,,,N,
R C Fisher,,,Brig,,,4/19/1848,1848,4,19,Barnegat,,,Struck by lightening,,,,,,,,,"Apalachicola, FL","New York, NY",,,,0,,,,,Y,Y,N,Crew saved
Reaper (1848),,,Schooner,,,1/9/1848,1848,1,9,Cape May Joe Flogger Shoal,,,Stranded; Bilged,,,,,,,,,,"New York, NY",,,,,,,,,Y,Y,N ,Total loss
Rebecca C Fisher,R C Fisher,,Brig,1840,"New Haven, CT",4/19/1848,1848,4,19,Barnegat,,,Burned due to lightning strike,Wood,US,88.6,24.1,11.10,222,,"New Haven, CT","Apalachicola, FL","New York, NY",,,,,,,,,Y,Y,N,Total loss; Crew saved
Ringgold,,,Schooner,,,8/22/1848,1848,8,22,Cape May N 7 mi,,,Stranded in gale; Bilged,,,,,,,,"Baltimore, MD","Baltimore, MD",Greenwich,Robertson,,,,,,,,Y,Y,N ,Total loss
Root,,,Schooner,,,9/13/1848,1848,9,13,Brigantine Shoal,,,Stranded in gale,,,,,,,,"Blue Hill, ME","Philadelphia, PA","Portsmouth, NH",Bruce,,,,,,,,Y,Y,N,Total loss; Crew saved
Staunch,,,Schooner,,,3/2/1848,1848,3,2,Little Egg Harbor,,,Stranded in snow storm,,,,,,,,,,,Weaver,,,,,,,,Y,Y,N,Total loss
Yum Chi,Yum Cha,,Ship,,,4/25/1848,1848,4,25,Little Egg Harbor Inlet,39.49298,-74.28779,Stranded,,,,,,420,,,"Canton, China","New York, NY",,21,,,,"$2,700","Tea, silk and valuable merchandice",,A,Y,N,Total loss
Albion (1847),,,Schooner,,,8/1847,1847,8,,Sandy Hook,,,Stranded,,,,,,,,,"Picton, NS","New York, NY",,5,0,0,,,,,Y,Y,N,Total loss
Angora,Angola,,Brig,,,12/1/1847,1847,12,1,Squan Inlet S 10.5 mi,,,Grounded; Bilged,,,,,,185,185,,"New York, NY","Philadelphia, PA",,8,,0,"$12,000","$1,500",,,Y,Y,N,"Total loss; aka ""Angola"""
Ann (1847),,,Schooner,,,9/2/1847,1847,9,2,Absecon bar,,,Stranded,,,,,,116,,,"Philadelphia, PA","Boston, MA",Cordson,,,0,"$2,000",,,,,,N,Abandoned by crew
Anne Maria,,,Schooner,,,9/26/1847,1847,9,26,Beacon Light Inside,,,Grounded,,,,,,,,"Philadelphia, PA","Philadelphia, PA","Chesapeake, MD",,,,,,,,,Y,Y,N,Total loss
Auburn,,Savannah Line,Packet ship,1837,"New York, NY",9/25/1847,1847,9,25,Barnegat Light S 5 mi,39.69174,-74.13736,Stranded,,,117,28.7,16.9,427,,"New Orleans, LA","New Orleans, LA","New York, NY",E S Hoyt,26,,19,"$25,000","$45,000",Cotton & hemp,,A,Y,N,Total loss
Balance (1847),,,Schooner,,,1/22/1847,1847,1,22,Cape May Beach,,,Stranded; Bilged,,,,,,,,,"Gloucester, MA","Philadelphia, PA",,,,,,,,,Y,Y,N,Total loss
Belle (1847A),,,Schooner,,,11/1847,1847,11,,Deal Beach,,,Wrecked,,,,,,,,,"Charleston, SC","New York, NY",McNeath,9,,0,,,,,N,N,N,Refloated
Cricket,,,Steamboat,,,1847,1847,,,Shrewsbury Inlet,,,Foundered,Iron,,,,,,,,,,,,,,,,,,Y,Y,N,Total loss; Closed Shrewsbury Inlet
Day,,,Bark,,,4/15/1847,1847,4,15,Sandy Hook Light S 2 mi,,,Stranded,,,,,,,,,"Limerick, Ireland","New York, NY",,,,,,,,,,,N ,
Emily Bourne,,,Schooner,,,6/1847,1847,6,,Delaware Breakwater,,,"Collision w/ ""Caroline""",,,,,,,,"New Bedford, MA",,,Ricketson,,,,,,,,,,N,
Emma Prescott,,,Brig,,,10/5/1847,1847,10,5,Sandy Hook,,,Stranded,,,,,,,,,,,,,,1,,,,,,,N,
Falmouth,,,Schooner,,,5/24/1847,1847,5,24,Sandy Hook Romer Shoal,,,Grounded in fog,,,,,,,,,"Baltimore, MD",,,,,,,,,,Y,Y,N,Bilged
Fauvette,,,Bark,,,~ 1847,1847,,,Squan Inlet S 5.5 mi,,,Stranded,,France,,,,,,,,,,,,,,,,,,,N,
Flor del Mar,,,Schooner,,,9/12/1847,1847,9,12,Delaware Breakwater,,,Grounded,,,,,,,,"Portsmouth, NH","Philadelphia, PA","Boston, MA",,,,,,,,,Y,Y,N,Broke up; Total loss
Harriet Elizabeth,,,Schooner,,,1/7/1847,1847,1,7,Absecon bar,,,Stranded,,,,,,,,,"Alexandria, VA","New York, NY",,,,,,,,,Y,Y,N,Total loss
Isaac Newton (1847),,,Schooner,,,12/1847,1847,12,,Perth Amboy,,,Wrecked,,,,,,50,,,"Barnegat, NJ",,,,,,,$400,,,Y,Y,N,Total loss
Lord Welington,,,Ship,,,1847,1847,,,Barnegat Shoal,,,Stranded,,,,,,,,,,,,,,,,,,,,,N,
L'Orient,,,Brig,,,10/7/1847,1847,10,7,Absecon Beach,,,Stranded,,Wales,,,,,,"Newburyport, MA",Trinidad de Cuba,"New York, NY",,,,,,,,,Y,Y,N,Bilged
Margaret and Elizabeth,,,Schooner,,,1/7/1847,1847,1,7,Brigantine Beach,39.38421,-74.38213,Foundered,,,,,,,,"New York, NY",,,,,,,,,,,A,,N,
Millesent,,,Schooner,,,6/1847,1847,6,,Delaware Breakwater,,,Foundered in gale,,,,,,,,"New York, NY",,,,,,,,,,,Y,Y,N,Sunk at her anchors
Mississippi,,,Schooner,,,12/16/1847,1847,12,16,Absecon Beach,,,Stranded,,,,,,,,"York River, VA","Norfolk, VA","New York, NY",,5,1,0,"$2,000","$2,700",,,Y,Y,N,Total loss
Niagara (1847),,,Ship,,,11/25/1847,1847,11,25,Sandy Hook,,,Stranded,,,,,,730,,,"Liverpool, England","New York, NY",,26,274,0,"$56,000","$35,337",,,,,N,
Nile (1847),,,Schooner,,,12/16/1847,1847,12,13,Brigantine Beach,,,Stranded,,,,,,,,,,,,,,,,,Mahogany,,,,N,
Patapsco,Potapsco,,Brig,,,9/28/1847,1847,9,28,Brigantine Beach,39.46232,-74.31583,Stranded,,,,,,,,"Boston, MA",,,,,,,,,,,N,N,N,Refloated
Spartan (1847),,,Brig,1847,,7/1847,1847,7,,Cape Henlopen Light S 5 mi,,,Sank,,England,,,,,,,"Sunderland, England","Philadelphia, PA",Orchard,,,,,,,,Y,Y,N,
Telula,,,Schooner,,,6/1847,1847,6,,Highlands S 8 mi,,,Stranded in gale,,,,,,,,,"Havana, Cuba","New York, NY",,,,,,,,,Y,Y,N ,Total loss
Adelaide (1846),,,Sloop,,,9/9/1846,1846,9,9,Barnegat Inlet,,,Struck Bar; Capsized,Wood,,,,,,,"Manahawkin, NJ","Manahawkin, NJ","Barnegat City, NJ",James Lamson,4,1,4,,,,,Y,Y,N,Capt's daughter only survivor
Alabama,,,Schooner,,,2/15/1846,1846,2,15,Squan Inlet S 1 mi,40.09093,-74.03532,Stranded in gale,,,,,,,,,"Philadelphia, PA","New York, NY",Nicholson,7,0,7,,,"Hides, spices, iron",,A,Y,N,"Crew, ship, cargo lost "
Ann Elizabeth (1846),,,Schooner,,,9/8/1846,1846,9,8,Little Egg Harbor,,,Grounded,,,,,,,,,,,,,,0,,,Coal,,Y,Y,N,Total loss
Annabella,,,Schooner,,,9/9/1846,1846,9,9,Long Beach Island,,,Damaged in storm,,,,,,,,"Dennisville, NJ","Jersey City, NJ",,,,,,,,,,Y,Y,N,Total loss
